Size,Scalar,Matrix
100,2.0e-7,3.8e-6
100,2.0e-7,2.4e-6
100,2.0e-7,3.5e-6
100,2.0e-7,3.5e-6
100,2.0e-7,2.98e-5
100,2.0e-7,3.1e-6
100,2.0e-7,3.4e-6
100,3.0e-7,2.4e-6
100,4.0e-7,3.1e-6
100,3.0e-7,3.1e-6
200,4.0e-7,1.16e-5
200,5.0e-7,9.8e-6
200,5.0e-7,9.8e-6
200,4.0e-7,1.03e-5
200,4.0e-7,9.5e-6
200,4.0e-7,1.22e-5
200,5.0e-7,1.05e-5
200,5.0e-7,1.08e-5
200,4.0e-7,1.21e-5
200,1.1e-6,1.26e-5
300,2.2e-6,4.36e-5
300,1.2e-6,6.54e-5
300,1.3e-6,6.37e-5
300,9.0e-7,3.77e-5
300,3.7e-6,9.76e-5
300,2.0e-6,5.12e-5
300,1.1e-6,4.25e-5
300,7.0e-7,3.41e-5
300,7.0e-7,3.08e-5
300,8.0e-7,2.93e-5
400,9.0e-7,4.67e-5
400,1.3e-6,4.32e-5
400,2.5e-6,6.89e-5
400,2.3e-6,7.3e-5
400,1.7e-6,6.91e-5
400,2.2e-6,8.02e-5
400,2.1e-6,8.91e-5
400,1.8e-6,7.17e-5
400,1.6e-6,9.36e-5
400,2.9e-6,8.09e-5
500,3.5e-6,0.0002279
500,2.2e-6,7.42e-5
500,1.3e-6,9.83e-5
500,3.0e-6,0.0001433
500,3.2e-6,0.000185
500,1.5e-6,8.07e-5
500,1.3e-6,8.64e-5
500,1.5e-6,9.02e-5
500,2.5e-6,0.0001128
500,2.7e-6,0.0001517
600,2.2e-6,0.0001831
600,1.8e-6,0.0001783
600,3.9e-6,0.0003194
600,4.4e-6,0.0002883
600,1.8e-6,0.0002338
600,3.8e-6,0.0003575
600,3.1e-6,0.0002928
600,2.7e-6,0.0002071
600,3.1e-6,0.0002323
600,3.1e-6,0.0002855
700,2.7e-6,0.0003294
700,2.4e-6,0.0003484
700,3.2e-6,0.0003674
700,2.5e-6,0.0003444
700,2.2e-6,0.0002834
700,2.5e-6,0.0003765
700,2.6e-6,0.0002498
700,2.5e-6,0.0003865
700,1.9e-6,0.0003184
700,2.5e-6,0.0003615
800,3.1e-6,0.0004247
800,2.9e-6,0.0005067
800,2.5e-6,0.0004602
800,3.1e-6,0.0004549
800,2.9e-6,0.0004478
800,2.7e-6,0.0004316
800,2.1e-6,0.0004393
800,3.5e-6,0.0004869
800,3.2e-6,0.0005694
800,3.1e-6,0.0004761
900,2.9e-6,0.0005701
900,3.4e-6,0.0005826
900,3.7e-6,0.000542
900,5.5e-6,0.0006637
900,3.4e-6,0.0005035
900,3.0e-6,0.0005852
900,3.2e-6,0.0006437
900,3.5e-6,0.0005357
900,2.4e-6,0.0005366
900,4.1e-6,0.0006053
1000,4.8e-6,0.0006598
1000,4.5e-6,0.0009856
1000,3.2e-6,0.0006836
1000,4.8e-6,0.0008973
1000,4.7e-6,0.0007872
1000,4.4e-6,0.000971
1000,3.1e-6,0.0008403
1000,4.0e-6,0.0007058
1000,3.6e-6,0.0007542
1000,4.3e-6,0.0008376
1100,4.5e-6,0.0008218
1100,3.8e-6,0.000787
1100,3.6e-6,0.0007418
1100,3.3e-6,0.0007934
1100,3.8e-6,0.0008032
1100,2.7e-6,0.0007575
1100,3.2e-6,0.0007594
1100,3.1e-6,0.0007641
1100,3.9e-6,0.00078
1100,2.9e-6,0.0007807
1200,4.3e-6,0.0011388
1200,3.3e-6,0.0008558
1200,3.3e-6,0.000903
1200,4.2e-6,0.0010332
1200,4.0e-6,0.0008996
1200,3.8e-6,0.0009425
1200,3.8e-6,0.0009632
1200,3.3e-6,0.0009619
1200,3.6e-6,0.0009455
1200,4.0e-6,0.0009023
1300,3.9e-6,0.0010892
1300,4.0e-6,0.0010358
1300,2.7e-6,0.0010173
1300,2.9e-6,0.0010092
1300,3.8e-6,0.0010647
1300,3.7e-6,0.0010687
1300,3.1e-6,0.0010641
1300,3.1e-6,0.0010903
1300,3.3e-6,0.0010574
1300,3.4e-6,0.001063
1400,3.4e-6,0.0011783
1400,3.9e-6,0.0011322
1400,3.8e-6,0.0012114
1400,4.2e-6,0.0011571
1400,3.2e-6,0.001215
1400,3.6e-6,0.0012222
1400,3.3e-6,0.0011783
1400,3.5e-6,0.0011945
1400,7.8e-6,0.0017473
1400,3.8e-6,0.0011975
1500,3.7e-6,0.0016394
1500,3.7e-6,0.0015016
1500,2.9e-6,0.0013127
1500,4.5e-6,0.0017537
1500,3.5e-6,0.0013358
1500,5.3e-6,0.0013925
1500,3.5e-6,0.0013157
1500,3.5e-6,0.0014969
1500,3.7e-6,0.0013584
1500,3.3e-6,0.0012891
1600,4.0e-6,0.001501
1600,3.9e-6,0.001822
1600,4.2e-6,0.0017578
1600,7.0e-6,0.0015794
1600,3.1e-6,0.0015824
1600,4.0e-6,0.0015709
1600,3.9e-6,0.0015493
1600,3.3e-6,0.0015182
1600,3.3e-6,0.0014948
1600,3.3e-6,0.0014874
1700,4.4e-6,0.0016985
1700,4.7e-6,0.0017073
1700,3.8e-6,0.0017039
1700,3.6e-6,0.0020528
1700,4.5e-6,0.0020543
1700,4.9e-6,0.0022163
1700,5.2e-6,0.0017605
1700,4.4e-6,0.0017942
1700,5.7e-6,0.0019927
1700,3.8e-6,0.0020374
1800,5.2e-6,0.002234
1800,4.2e-6,0.0019093
1800,4.0e-6,0.0020427
1800,4.0e-6,0.001915
1800,4.3e-6,0.0028136
1800,4.2e-6,0.0020437
1800,1.01e-5,0.0021546
1800,4.8e-6,0.0022268
1800,4.0e-6,0.00193
1800,3.9e-6,0.0019179
1900,3.8e-6,0.0021603
1900,3.8e-6,0.0020849
1900,4.1e-6,0.0025411
1900,5.4e-6,0.0024413
1900,4.8e-6,0.0021955
1900,4.5e-6,0.0024889
1900,2.63e-5,0.0032058
1900,4.0e-6,0.0021416
1900,3.6e-6,0.0020793
1900,5.4e-6,0.0025688
2000,5.0e-6,0.0030377
2000,4.9e-6,0.0024118
2000,4.0e-6,0.0024107
2000,3.6e-6,0.002456
2000,4.4e-6,0.0023935
2000,4.2e-6,0.0030088
2000,4.2e-6,0.0027804
2000,5.0e-6,0.0024259
2000,5.8e-6,0.0024087
2000,5.4e-6,0.0024338
