size,method,time
100,generalized_dot,3.1e-6
100,matrix_vector_mul,2.4e-6
100,generalized_dot,2.3e-6
100,matrix_vector_mul,2.4e-6
100,generalized_dot,2.5e-6
100,matrix_vector_mul,2.3e-6
100,generalized_dot,2.2e-6
100,matrix_vector_mul,2.2e-6
100,generalized_dot,2.3e-6
100,matrix_vector_mul,2.2e-6
100,generalized_dot,2.2e-6
100,matrix_vector_mul,3.0e-6
100,generalized_dot,2.2e-6
100,matrix_vector_mul,4.2e-6
100,generalized_dot,2.9e-6
100,matrix_vector_mul,2.3e-6
100,generalized_dot,3.0e-6
100,matrix_vector_mul,2.3e-6
100,generalized_dot,2.4e-6
100,matrix_vector_mul,2.2e-6
1100,generalized_dot,0.0008998
1100,matrix_vector_mul,0.0008226
1100,generalized_dot,0.0007493
1100,matrix_vector_mul,0.0006746
1100,generalized_dot,0.000774
1100,matrix_vector_mul,0.0006338
1100,generalized_dot,0.0007607
1100,matrix_vector_mul,0.0006981
1100,generalized_dot,0.0008482
1100,matrix_vector_mul,0.0008169
1100,generalized_dot,0.0007668
1100,matrix_vector_mul,0.0006337
1100,generalized_dot,0.0008308
1100,matrix_vector_mul,0.0006949
1100,generalized_dot,0.0007586
1100,matrix_vector_mul,0.0006382
1100,generalized_dot,0.00088
1100,matrix_vector_mul,0.0008204
1100,generalized_dot,0.0011413
1100,matrix_vector_mul,0.0007509
2100,generalized_dot,0.0027612
2100,matrix_vector_mul,0.0024791
2100,generalized_dot,0.0024466
2100,matrix_vector_mul,0.0023856
2100,generalized_dot,0.002385
2100,matrix_vector_mul,0.0023754
2100,generalized_dot,0.0024433
2100,matrix_vector_mul,0.0025331
2100,generalized_dot,0.0033003
2100,matrix_vector_mul,0.0030178
2100,generalized_dot,0.0032315
2100,matrix_vector_mul,0.0028345
2100,generalized_dot,0.0030896
2100,matrix_vector_mul,0.0036763
2100,generalized_dot,0.0036721
2100,matrix_vector_mul,0.0033342
2100,generalized_dot,0.0035839
2100,matrix_vector_mul,0.0033903
2100,generalized_dot,0.0032821
2100,matrix_vector_mul,0.0036857
3100,generalized_dot,0.0066281
3100,matrix_vector_mul,0.0063404
3100,generalized_dot,0.0054167
3100,matrix_vector_mul,0.00524
3100,generalized_dot,0.0054731
3100,matrix_vector_mul,0.0050764
3100,generalized_dot,0.0053019
3100,matrix_vector_mul,0.0050817
3100,generalized_dot,0.0052789
3100,matrix_vector_mul,0.0052387
3100,generalized_dot,0.0070716
3100,matrix_vector_mul,0.0070524
3100,generalized_dot,0.0066993
3100,matrix_vector_mul,0.0053988
3100,generalized_dot,0.0051732
3100,matrix_vector_mul,0.0052403
3100,generalized_dot,0.0052458
3100,matrix_vector_mul,0.0052554
3100,generalized_dot,0.0054992
3100,matrix_vector_mul,0.0049856
4100,generalized_dot,0.0092414
4100,matrix_vector_mul,0.0091657
4100,generalized_dot,0.0091643
4100,matrix_vector_mul,0.0092774
4100,generalized_dot,0.0125161
4100,matrix_vector_mul,0.0114774
4100,generalized_dot,0.0090308
4100,matrix_vector_mul,0.0094457
4100,generalized_dot,0.0106778
4100,matrix_vector_mul,0.0101848
4100,generalized_dot,0.009426
4100,matrix_vector_mul,0.0090699
4100,generalized_dot,0.0095406
4100,matrix_vector_mul,0.0090439
4100,generalized_dot,0.0109047
4100,matrix_vector_mul,0.0091315
4100,generalized_dot,0.0114949
4100,matrix_vector_mul,0.0115242
4100,generalized_dot,0.0093953
4100,matrix_vector_mul,0.0094195
5100,generalized_dot,0.0199711
5100,matrix_vector_mul,0.0198117
5100,generalized_dot,0.0143701
5100,matrix_vector_mul,0.0140603
5100,generalized_dot,0.0145589
5100,matrix_vector_mul,0.0140971
5100,generalized_dot,0.0174275
5100,matrix_vector_mul,0.0182865
5100,generalized_dot,0.0167937
